FIGHT_ID,EVENT_ID,FIGHT_NAME,FIGHT_WEIGHTCLASS,FIGHT_METHOD,ROUND,TIME,FIGHT_TIME_FORMAT,FIGHT_REFEREE,FIGHT_DETAILS,MINUTE,SECOND,EVENT_NAME,EVENT_DATE,EVENT_LOCATION,FIGHT_WINNER,LOCAL,VISITOR,GENDER,YearMonth
10653,1227,Cole Smith v Miles Johns,bantamweight,decisionsplit,3,300,3 Rnd (5-5-5),Jerin Valel,Decision - Split,5,0,UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,"Vancouver, British Columbia, Canada",Miles Johns,Cole Smith,Miles Johns,male,2019-09
10840,1243,Al Iaquinta v Donald Cerrone,lightweight,decisionunanimous,5,300,5 Rnd (5-5-5-5-5),Jerin Valel,Decision,5,0,UFC Fight Night: Iaquinta vs. Cowboy,2019-05-04,"Ottawa, Ontario, Canada",Donald Cerrone,Al Iaquinta,Donald Cerrone,male,2019-05
10844,1243,Walt Harris v Serghei Spivac,heavyweight,kotko,1,50,3 Rnd (5-5-5),Jerin Valel,Knees to Head In Clinch,0,50,UFC Fight Night: Iaquinta vs. Cowboy,2019-05-04,"Ottawa, Ontario, Canada",Walt Harris,Walt Harris,Serghei Spivac,male,2019-05
10848,1243,Nordine Taleb v Kyle Prepolec,welterweight,decisionunanimous,3,300,3 Rnd (5-5-5),Jerin Valel,Decision,5,0,UFC Fight Night: Iaquinta vs. Cowboy,2019-05-04,"Ottawa, Ontario, Canada",Nordine Taleb,Nordine Taleb,Kyle Prepolec,male,2019-05
10988,1255,Jose Aldo v Renato Moicano,featherweight,kotko,2,44,3 Rnd (5-5-5),Jerin Valel,Punches to Head At Distance,0,44,UFC Fight Night: Assuncao vs. Moraes 2,2019-02-02,"Fortaleza, Ceara, Brazil",Jose Aldo,Jose Aldo,Renato Moicano,male,2019-02
10990,1255,Charles Oliveira v David Teymur,lightweight,submission,2,55,3 Rnd (5-5-5),Jerin Valel,Anaconda Choke On Ground,0,55,UFC Fight Night: Assuncao vs. Moraes 2,2019-02-02,"Fortaleza, Ceara, Brazil",Charles Oliveira,Charles Oliveira,David Teymur,male,2019-02
10999,1255,Bibulatov Magomed v Rogerio Bontorin,flyweight,decisionsplit,3,300,3 Rnd (5-5-5),Jerin Valel,Decision - Split,5,0,UFC Fight Night: Assuncao vs. Moraes 2,2019-02-02,"Fortaleza, Ceara, Brazil",Rogerio Bontorin,Bibulatov Magomed,Rogerio Bontorin,male,2019-02
11040,1259,Alex Oliveira v Gunnar Nelson,welterweight,submission,2,257,3 Rnd (5-5-5),Jerin Valel,Rear Naked Choke,4,17,UFC 231: Holloway vs. Ortega,2018-12-08,"Toronto, Ontario, Canada",Gunnar Nelson,Alex Oliveira,Gunnar Nelson,male,2018-12
11043,1259,Claudia Gadelha v Nina Nunes,strawweight,decisionunanimous,3,300,3 Rnd (5-5-5),Jerin Valel,Decision,5,0,UFC 231: Holloway vs. Ortega,2018-12-08,"Toronto, Ontario, Canada",Nina Nunes,Claudia Gadelha,Nina Nunes,female,2018-12
11046,1259,Elias Theodorou v Eryk Anders,middleweight,decisionsplit,3,300,3 Rnd (5-5-5),Jerin Valel,Decision - Split,5,0,UFC 231: Holloway vs. Ortega,2018-12-08,"Toronto, Ontario, Canada",Elias Theodorou,Elias Theodorou,Eryk Anders,male,2018-12
11125,1266,Michael Johnson v Artem Lobov,featherweight,decisionunanimous,3,300,3 Rnd (5-5-5),Jerin Valel,Decision,5,0,UFC Fight Night: Oezdemir vs. Smith,2018-10-27,"Moncton, New Brunswick, Canada",Michael Johnson,Michael Johnson,Artem Lobov,male,2018-10
11127,1266,Andre Soukhamthath v Jonathan Martinez,bantamweight,decisionunanimous,3,300,3 Rnd (5-5-5),Jerin Valel,Decision,5,0,UFC Fight Night: Oezdemir vs. Smith,2018-10-27,"Moncton, New Brunswick, Canada",Andre Soukhamthath,Andre Soukhamthath,Jonathan Martinez,male,2018-10
