FIGHT_ID,EVENT_ID,FIGHT_NAME,FIGHT_WEIGHTCLASS,FIGHT_METHOD,ROUND,TIME,FIGHT_TIME_FORMAT,FIGHT_REFEREE,FIGHT_DETAILS,MINUTE,SECOND,FIGHT_STUB,EVENT_NAME,EVENT_DATE,EVENT_LOCATION,EVENT_STUB,DATE_YMD,URL,FIGHT_WINNER
10954,1252,Liz Carmouche v Lucie Pudilova,Women&#039;s Flyweight,Decision - Unanimous,3,05:00,3 Rnd (5-5-5),Herb Dean,Decision,5,0,liz-carmouche-v-lucie-pudilova,UFC Fight Night: Blachowicz vs. Santos,"February 23, 2019","Prague, Czech Republic",ufc-fight-night-blachowicz-vs-santos,23/02/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-blachowicz-vs-santos-1252/liz-carmouche-v-lucie-pudilova-10954/,Liz Carmouche
10958,1252,Daniel Teymur v Chris Fishgold,Featherweight,Submission,2,01:10,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,1,10,daniel-teymur-v-chris-fishgold,UFC Fight Night: Blachowicz vs. Santos,"February 23, 2019","Prague, Czech Republic",ufc-fight-night-blachowicz-vs-santos,23/02/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-blachowicz-vs-santos-1252/daniel-teymur-v-chris-fishgold-10958/,Chris Fishgold
10976,1254,Israel Adesanya v Anderson Silva,Middleweight,Decision - Unanimous,3,05:00,3 Rnd (5-5-5),Herb Dean,Decision,5,0,israel-adesanya-v-anderson-silva,UFC 234: Adesanya vs. Silva,"February 09, 2019","Melbourne, Victoria, Australia",ufc-234-adesanya-vs-silva,09/02/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-234-adesanya-vs-silva-1254/israel-adesanya-v-anderson-silva-10976/,Israel Adesanya
10981,1254,Devonte Smith v Dong Hyun Ma,Lightweight,KO/TKO,1,03:53,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,3,53,devonte-smith-v-dong-hyun-ma,UFC 234: Adesanya vs. Silva,"February 09, 2019","Melbourne, Victoria, Australia",ufc-234-adesanya-vs-silva,09/02/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-234-adesanya-vs-silva-1254/devonte-smith-v-dong-hyun-ma-10981/,Devonte Smith
10984,1254,Teruto Ishihara v Kyung Ho Kang,Bantamweight,Submission,1,03:59,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,3,59,teruto-ishihara-v-kyung-ho-kang,UFC 234: Adesanya vs. Silva,"February 09, 2019","Melbourne, Victoria, Australia",ufc-234-adesanya-vs-silva,09/02/2019,https://vegas-odds.com/ufc-fight-statistics/ufc-234-adesanya-vs-silva-1254/teruto-ishihara-v-kyung-ho-kang-10984/,Kyung Ho Kang
11051,1260,Junior Dos Santos v Tai Tuivasa,Heavyweight,KO/TKO,2,02:30,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head From Mount,2,30,junior-dos-santos-v-tai-tuivasa,UFC Fight Night: Dos Santos vs. Tuivasa,"December 01, 2018","Adelaide, South Australia, Australia",ufc-fight-night-dos-santos-vs-tuivasa,01/12/2018,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-dos-santos-vs-tuivasa-1260/junior-dos-santos-v-tai-tuivasa-11051/,Junior Dos Santos
11053,1260,Mark Hunt v Justin Willis,Heavyweight,Decision - Unanimous,3,05:00,3 Rnd (5-5-5),Herb Dean,Decision,5,0,mark-hunt-v-justin-willis,UFC Fight Night: Dos Santos vs. Tuivasa,"December 01, 2018","Adelaide, South Australia, Australia",ufc-fight-night-dos-santos-vs-tuivasa,01/12/2018,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-dos-santos-vs-tuivasa-1260/mark-hunt-v-justin-willis-11053/,Justin Willis
11058,1260,Wilson Reis v Ben Nguyen,Flyweight,Decision - Unanimous,3,05:00,3 Rnd (5-5-5),Herb Dean,Decision,5,0,wilson-reis-v-ben-nguyen,UFC Fight Night: Dos Santos vs. Tuivasa,"December 01, 2018","Adelaide, South Australia, Australia",ufc-fight-night-dos-santos-vs-tuivasa,01/12/2018,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-dos-santos-vs-tuivasa-1260/wilson-reis-v-ben-nguyen-11058/,Wilson Reis
11088,1263,Neil Magny v Santiago Ponzinibbio,Welterweight,KO/TKO,4,02:36,5 Rnd (5-5-5-5-5),Herb Dean,Punch to Head At Distance,2,36,neil-magny-v-santiago-ponzinibbio,UFC Fight Night: Magny vs. Ponzinibbio,"November 17, 2018","Buenos Aires, Buenos Aires, Argentina",ufc-fight-night-magny-vs-ponzinibbio,17/11/2018,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-magny-vs-ponzinibbio-1263/neil-magny-v-santiago-ponzinibbio-11088/,Santiago Ponzinibbio
11093,1263,Cynthia Calvillo v Poliana Botelho,Women&#039;s Strawweight,Submission,1,04:48,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,4,48,cynthia-calvillo-v-poliana-botelho,UFC Fight Night: Magny vs. Ponzinibbio,"November 17, 2018","Buenos Aires, Buenos Aires, Argentina",ufc-fight-night-magny-vs-ponzinibbio,17/11/2018,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-magny-vs-ponzinibbio-1263/cynthia-calvillo-v-poliana-botelho-11093/,Cynthia Calvillo
11095,1263,Alexandre Pantoja v Yuta Sasaki,Flyweight,Submission,1,02:18,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,2,18,alexandre-pantoja-v-yuta-sasaki,UFC Fight Night: Magny vs. Ponzinibbio,"November 17, 2018","Buenos Aires, Buenos Aires, Argentina",ufc-fight-night-magny-vs-ponzinibbio,17/11/2018,https://vegas-odds.com/ufc-fight-statistics/ufc-fight-night-magny-vs-ponzinibbio-1263/alexandre-pantoja-v-yuta-sasaki-11095/,Alexandre Pantoja
11112,1265,Daniel Cormier v Derrick Lewis,UFC Heavyweight Title,Submission,2,02:14,5 Rnd (5-5-5-5-5),Herb Dean,Rear Naked Choke,2,14,daniel-cormier-v-derrick-lewis,UFC 230: Cormier vs. Lewis,"November 03, 2018","New York City, New York, USA",ufc-230-cormier-vs-lewis,03/11/2018,https://vegas-odds.com/ufc-fight-statistics/ufc-230-cormier-vs-lewis-1265/daniel-cormier-v-derrick-lewis-11112/,Daniel Cormier
11116,1265,Derek Brunson v Israel Adesanya,Middleweight,KO/TKO,1,04:51,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,4,51,derek-brunson-v-israel-adesanya,UFC 230: Cormier vs. Lewis,"November 03, 2018","New York City, New York, USA",ufc-230-cormier-vs-lewis,03/11/2018,https://vegas-odds.com/ufc-fight-statistics/ufc-230-cormier-vs-lewis-1265/derek-brunson-v-israel-adesanya-11116/,Israel Adesanya
11120,1265,Lyman Good v Ben Saunders,Welterweight,KO/TKO,1,01:32,3 Rnd (5-5-5),Herb Dean,Punches to Head In Clinch,1,32,lyman-good-v-ben-saunders,UFC 230: Cormier vs. Lewis,"November 03, 2018","New York City, New York, USA",ufc-230-cormier-vs-lewis,03/11/2018,https://vegas-odds.com/ufc-fight-statistics/ufc-230-cormier-vs-lewis-1265/lyman-good-v-ben-saunders-11120/,Lyman Good
